Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Carbohydrate percentage of calories(%),Protein percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Александр Мартынов,CIRCUIT_TRAINING,28.02.2026,11:33:11,01:08:44,,129,,,,,773,43,56,1,,,,,,,,,Делал силовую и open 2026.1 сегодня,182.0,76.0,192,55,64,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,75,,,,,,,25.8,,
,00:00:01,76,,,,,,,25.8,,
,00:00:02,76,,,,,,,25.8,,
,00:00:03,78,,,,,,,25.7,,
,00:00:04,76,,,,,,,25.7,,
,00:00:05,74,,,,,,,25.7,,
,00:00:06,76,,,,,,,25.7,,
,00:00:07,76,,,,,,,25.6,,
,00:00:08,76,,,,,,,25.2,,
,00:00:09,77,,,,,,,25.2,,
,00:00:10,78,,,,,,,25.3,,
,00:00:11,79,,,,,,,25.3,,
,00:00:12,80,,,,,,,25.3,,
,00:00:13,80,,,,,,,25.3,,
,00:00:14,80,,,,,,,25.3,,
,00:00:15,83,,,,,,,25.3,,
,00:00:16,83,,,,,,,25.3,,
,00:00:17,83,,,,,,,25.3,,
,00:00:18,84,,,,,,,25.4,,
,00:00:19,85,,,,,,,25.4,,
,00:00:20,85,,,,,,,25.3,,
,00:00:21,85,,,,,,,25.3,,
,00:00:22,85,,,,,,,25.3,,
,00:00:23,85,,,,,,,25.3,,
,00:00:24,85,,,,,,,25.3,,
,00:00:25,85,,,,,,,25.4,,
,00:00:26,85,,,,,,,25.4,,
,00:00:27,84,,,,,,,25.4,,
,00:00:28,84,,,,,,,25.4,,
,00:00:29,84,,,,,,,25.3,,
,00:00:30,83,,,,,,,25.4,,
,00:00:31,83,,,,,,,25.5,,
,00:00:32,83,,,,,,,25.3,,
,00:00:33,83,,,,,,,25.4,,
,00:00:34,83,,,,,,,25.4,,
,00:00:35,83,,,,,,,25.4,,
,00:00:36,82,,,,,,,25.4,,
,00:00:37,82,,,,,,,25.4,,
,00:00:38,82,,,,,,,25.3,,
,00:00:39,82,,,,,,,25.4,,
,00:00:40,82,,,,,,,25.4,,
,00:00:41,82,,,,,,,25.5,,
,00:00:42,82,,,,,,,25.3,,
,00:00:43,80,,,,,,,25.4,,
,00:00:44,80,,,,,,,25.4,,
,00:00:45,78,,,,,,,25.4,,
,00:00:46,78,,,,,,,25.5,,
,00:00:47,78,,,,,,,25.4,,
,00:00:48,77,,,,,,,25.4,,
,00:00:49,77,,,,,,,25.4,,
,00:00:50,77,,,,,,,25.4,,
,00:00:51,77,,,,,,,25.3,,
,00:00:52,76,,,,,,,25.4,,
,00:00:53,76,,,,,,,25.4,,
,00:00:54,75,,,,,,,25.4,,
,00:00:55,75,,,,,,,25.4,,
,00:00:56,75,,,,,,,25.5,,
,00:00:57,75,,,,,,,25.4,,
,00:00:58,75,,,,,,,25.5,,
,00:00:59,75,,,,,,,25.4,,
,00:01:00,73,,,,,,,25.4,,
,00:01:01,73,,,,,,,25.3,,
,00:01:02,73,,,,,,,25.4,,
,00:01:03,73,,,,,,,25.4,,
,00:01:04,73,,,,,,,25.5,,
,00:01:05,73,,,,,,,25.5,,
,00:01:06,72,,,,,,,25.5,,
,00:01:07,72,,,,,,,25.4,,
,00:01:08,71,,,,,,,25.4,,
,00:01:09,71,,,,,,,25.5,,
,00:01:10,72,,,,,,,25.4,,
,00:01:11,73,,,,,,,25.5,,
,00:01:12,74,,,,,,,25.5,,
,00:01:13,74,,,,,,,25.5,,
,00:01:14,74,,,,,,,25.4,,
,00:01:15,75,,,,,,,25.4,,
,00:01:16,75,,,,,,,25.5,,
,00:01:17,75,,,,,,,25.5,,
,00:01:18,77,,,,,,,25.4,,
,00:01:19,77,,,,,,,25.5,,
,00:01:20,86,,,,,,,25.4,,
,00:01:21,85,,,,,,,25.4,,
,00:01:22,85,,,,,,,25.5,,
,00:01:23,86,,,,,,,25.5,,
,00:01:24,87,,,,,,,25.4,,
,00:01:25,87,,,,,,,25.4,,
,00:01:26,103,,,,,,,25.5,,
,00:01:27,103,,,,,,,25.5,,
,00:01:28,109,,,,,,,25.5,,
,00:01:29,109,,,,,,,25.5,,
,00:01:30,109,,,,,,,25.4,,
,00:01:31,110,,,,,,,25.5,,
,00:01:32,112,,,,,,,25.4,,
,00:01:33,112,,,,,,,25.5,,
,00:01:34,113,,,,,,,25.5,,
,00:01:35,114,,,,,,,25.4,,
,00:01:36,115,,,,,,,25.5,,
,00:01:37,116,,,,,,,25.4,,
,00:01:38,116,,,,,,,25.5,,
,00:01:39,118,,,,,,,25.5,,
,00:01:40,120,,,,,,,25.6,,
,00:01:41,122,,,,,,,25.5,,
,00:01:42,123,,,,,,,25.6,,
,00:01:43,124,,,,,,,25.6,,
,00:01:44,125,,,,,,,25.6,,
,00:01:45,125,,,,,,,25.6,,
,00:01:46,126,,,,,,,25.5,,
,00:01:47,126,,,,,,,25.5,,
,00:01:48,127,,,,,,,25.6,,
,00:01:49,126,,,,,,,25.6,,
,00:01:50,126,,,,,,,25.5,,
,00:01:51,127,,,,,,,25.6,,
,00:01:52,127,,,,,,,25.6,,
,00:01:53,127,,,,,,,25.5,,
,00:01:54,127,,,,,,,25.5,,
,00:01:55,127,,,,,,,25.6,,
,00:01:56,127,,,,,,,25.5,,
,00:01:57,127,,,,,,,25.5,,
,00:01:58,127,,,,,,,25.5,,
,00:01:59,127,,,,,,,25.5,,
,00:02:00,127,,,,,,,25.5,,
,00:02:01,127,,,,,,,25.5,,
,00:02:02,128,,,,,,,25.5,,
,00:02:03,128,,,,,,,25.6,,
,00:02:04,128,,,,,,,25.5,,
,00:02:05,128,,,,,,,25.5,,
,00:02:06,128,,,,,,,25.5,,
,00:02:07,129,,,,,,,25.5,,
,00:02:08,129,,,,,,,25.5,,
,00:02:09,130,,,,,,,25.5,,
,00:02:10,130,,,,,,,25.4,,
,00:02:11,130,,,,,,,25.6,,
,00:02:12,131,,,,,,,25.6,,
,00:02:13,131,,,,,,,25.6,,
,00:02:14,132,,,,,,,25.6,,
,00:02:15,132,,,,,,,25.5,,
,00:02:16,132,,,,,,,25.6,,
,00:02:17,133,,,,,,,25.6,,
,00:02:18,132,,,,,,,25.6,,
,00:02:19,132,,,,,,,25.6,,
,00:02:20,132,,,,,,,25.5,,
,00:02:21,132,,,,,,,25.6,,
,00:02:22,132,,,,,,,25.6,,
,00:02:23,133,,,,,,,25.6,,
,00:02:24,133,,,,,,,25.7,,
,00:02:25,134,,,,,,,25.6,,
,00:02:26,134,,,,,,,25.6,,
,00:02:27,134,,,,,,,25.6,,
,00:02:28,135,,,,,,,25.6,,
,00:02:29,135,,,,,,,25.6,,
,00:02:30,135,,,,,,,25.5,,
,00:02:31,136,,,,,,,25.8,,
,00:02:32,136,,,,,,,25.7,,
,00:02:33,137,,,,,,,25.6,,
,00:02:34,137,,,,,,,25.5,,
,00:02:35,137,,,,,,,25.6,,
,00:02:36,137,,,,,,,25.6,,
,00:02:37,137,,,,,,,25.6,,
,00:02:38,138,,,,,,,25.6,,
,00:02:39,138,,,,,,,25.6,,
,00:02:40,138,,,,,,,25.6,,
,00:02:41,138,,,,,,,25.6,,
,00:02:42,139,,,,,,,25.6,,
,00:02:43,139,,,,,,,25.6,,
