Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Carbohydrate percentage of calories(%),Protein percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max
Александр Мартынов,CIRCUIT_TRAINING,2026-03-18,10:54:24,00:25:04,,157,,,,,418,20,79,1,,,,,,,,,,182.0,76.0,192,55,64
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
1,00:00:00,113,,,,,,,29.8,
,00:00:01,114,,,,,,,29.8,
,00:00:02,115,,,,,,,29.9,
,00:00:03,115,,,,,,,29.8,
,00:00:04,115,,,,,,,29.9,
,00:00:05,116,,,,,,,29.8,
,00:00:06,116,,,,,,,30.0,
,00:00:07,117,,,,,,,29.9,
,00:00:08,117,,,,,,,29.9,
,00:00:09,117,,,,,,,29.9,
,00:00:10,115,,,,,,,29.9,
,00:00:11,115,,,,,,,29.9,
,00:00:12,115,,,,,,,30.0,
,00:00:13,116,,,,,,,30.0,
,00:00:14,116,,,,,,,30.0,
,00:00:15,117,,,,,,,29.9,
,00:00:16,118,,,,,,,30.0,
,00:00:17,118,,,,,,,29.9,
,00:00:18,119,,,,,,,29.9,
,00:00:19,119,,,,,,,30.1,
,00:00:20,119,,,,,,,29.9,
,00:00:21,118,,,,,,,30.0,
,00:00:22,118,,,,,,,30.0,
,00:00:23,118,,,,,,,29.9,
,00:00:24,118,,,,,,,30.1,
,00:00:25,118,,,,,,,29.9,
,00:00:26,118,,,,,,,30.0,
,00:00:27,118,,,,,,,30.1,
,00:00:28,118,,,,,,,29.9,
,00:00:29,118,,,,,,,30.1,
,00:00:30,118,,,,,,,29.9,
,00:00:31,118,,,,,,,30.0,
,00:00:32,118,,,,,,,30.1,
,00:00:33,119,,,,,,,30.0,
,00:00:34,120,,,,,,,29.9,
,00:00:35,120,,,,,,,30.0,
,00:00:36,121,,,,,,,29.9,
,00:00:37,121,,,,,,,30.0,
,00:00:38,121,,,,,,,29.9,
,00:00:39,121,,,,,,,29.9,
,00:00:40,121,,,,,,,29.9,
,00:00:41,121,,,,,,,30.0,
,00:00:42,121,,,,,,,30.0,
,00:00:43,122,,,,,,,29.9,
,00:00:44,123,,,,,,,30.0,
,00:00:45,123,,,,,,,30.1,
,00:00:46,124,,,,,,,29.9,
,00:00:47,124,,,,,,,29.9,
,00:00:48,125,,,,,,,30.0,
,00:00:49,125,,,,,,,30.0,
,00:00:50,126,,,,,,,29.9,
,00:00:51,127,,,,,,,29.9,
,00:00:52,128,,,,,,,30.0,
,00:00:53,128,,,,,,,29.9,
,00:00:54,129,,,,,,,29.9,
,00:00:55,129,,,,,,,29.9,
,00:00:56,130,,,,,,,29.9,
,00:00:57,130,,,,,,,29.9,
,00:00:58,130,,,,,,,29.9,
,00:00:59,131,,,,,,,30.0,
,00:01:00,131,,,,,,,29.9,
,00:01:01,132,,,,,,,29.9,
,00:01:02,132,,,,,,,29.9,
,00:01:03,133,,,,,,,29.9,
,00:01:04,133,,,,,,,29.9,
,00:01:05,133,,,,,,,29.9,
,00:01:06,134,,,,,,,29.9,
,00:01:07,134,,,,,,,29.9,
,00:01:08,134,,,,,,,29.9,
,00:01:09,135,,,,,,,29.9,
,00:01:10,135,,,,,,,29.9,
,00:01:11,135,,,,,,,29.9,
,00:01:12,135,,,,,,,29.8,
,00:01:13,135,,,,,,,29.8,
,00:01:14,135,,,,,,,29.8,
,00:01:15,136,,,,,,,29.8,
,00:01:16,136,,,,,,,29.8,
,00:01:17,136,,,,,,,29.8,
,00:01:18,136,,,,,,,29.8,
,00:01:19,137,,,,,,,29.9,
,00:01:20,137,,,,,,,29.8,
,00:01:21,137,,,,,,,29.9,
,00:01:22,137,,,,,,,29.9,
,00:01:23,138,,,,,,,29.8,
,00:01:24,138,,,,,,,29.8,
,00:01:25,138,,,,,,,29.8,
,00:01:26,138,,,,,,,29.8,
,00:01:27,139,,,,,,,29.9,
,00:01:28,139,,,,,,,29.9,
,00:01:29,139,,,,,,,29.7,
,00:01:30,139,,,,,,,29.9,
,00:01:31,140,,,,,,,29.8,
,00:01:32,140,,,,,,,29.9,
,00:01:33,140,,,,,,,29.8,
,00:01:34,140,,,,,,,29.8,
,00:01:35,141,,,,,,,29.8,
,00:01:36,141,,,,,,,29.7,
,00:01:37,142,,,,,,,29.7,
,00:01:38,142,,,,,,,29.6,
,00:01:39,142,,,,,,,29.7,
,00:01:40,142,,,,,,,29.7,
,00:01:41,143,,,,,,,29.8,
,00:01:42,143,,,,,,,29.7,
,00:01:43,143,,,,,,,29.6,
,00:01:44,143,,,,,,,29.8,
,00:01:45,143,,,,,,,29.8,
,00:01:46,143,,,,,,,29.7,
,00:01:47,143,,,,,,,29.8,
,00:01:48,143,,,,,,,29.7,
,00:01:49,143,,,,,,,29.8,
,00:01:50,144,,,,,,,29.8,
,00:01:51,144,,,,,,,29.8,
,00:01:52,144,,,,,,,29.8,
,00:01:53,144,,,,,,,29.8,
,00:01:54,144,,,,,,,29.6,
,00:01:55,145,,,,,,,29.7,
,00:01:56,145,,,,,,,29.7,
,00:01:57,145,,,,,,,29.8,
,00:01:58,145,,,,,,,29.7,
,00:01:59,145,,,,,,,29.8,
,00:02:00,145,,,,,,,29.7,
,00:02:01,145,,,,,,,29.7,
,00:02:02,145,,,,,,,29.7,
,00:02:03,145,,,,,,,29.7,
,00:02:04,145,,,,,,,29.7,
,00:02:05,146,,,,,,,29.7,
,00:02:06,146,,,,,,,29.7,
,00:02:07,146,,,,,,,29.6,
,00:02:08,146,,,,,,,29.6,
,00:02:09,146,,,,,,,29.6,
,00:02:10,147,,,,,,,29.7,
,00:02:11,147,,,,,,,29.6,
,00:02:12,147,,,,,,,29.7,
,00:02:13,147,,,,,,,29.5,
,00:02:14,147,,,,,,,29.7,
,00:02:15,147,,,,,,,29.6,
,00:02:16,148,,,,,,,29.6,
,00:02:17,148,,,,,,,29.7,
,00:02:18,148,,,,,,,29.6,
,00:02:19,148,,,,,,,29.6,
,00:02:20,147,,,,,,,29.6,
,00:02:21,147,,,,,,,29.6,
,00:02:22,147,,,,,,,29.6,
,00:02:23,147,,,,,,,29.6,
,00:02:24,147,,,,,,,29.6,
,00:02:25,147,,,,,,,29.6,
,00:02:26,147,,,,,,,29.6,
,00:02:27,147,,,,,,,29.5,
,00:02:28,147,,,,,,,29.6,
,00:02:29,147,,,,,,,29.5,
,00:02:30,147,,,,,,,29.6,
,00:02:31,147,,,,,,,29.5,
,00:02:32,146,,,,,,,29.7,
,00:02:33,145,,,,,,,29.7,
,00:02:34,145,,,,,,,29.5,
,00:02:35,145,,,,,,,29.5,
,00:02:36,145,,,,,,,29.5,
,00:02:37,145,,,,,,,29.6,
,00:02:38,145,,,,,,,29.6,
,00:02:39,145,,,,,,,29.5,
,00:02:40,145,,,,,,,29.5,
,00:02:41,146,,,,,,,29.5,
,00:02:42,146,,,,,,,29.4,
,00:02:43,146,,,,,,,29.6,
,00:02:44,146,,,,,,,29.5,
,00:02:45,145,,,,,,,29.4,
,00:02:46,145,,,,,,,29.5,
,00:02:47,145,,,,,,,29.5,
,00:02:48,145,,,,,,,29.5,
,00:02:49,145,,,,,,,29.5,
,00:02:50,145,,,,,,,29.4,
,00:02:51,145,,,,,,,29.5,
,00:02:52,146,,,,,,,29.5,
,00:02:53,145,,,,,,,29.5,
,00:02:54,145,,,,,,,29.5,
,00:02:55,145,,,,,,,29.4,
,00:02:56,145,,,,,,,29.5,
,00:02:57,145,,,,,,,29.4,
,00:02:58,145,,,,,,,29.5,
,00:02:59,144,,,,,,,29.4,
,00:03:00,144,,,,,,,29.5,
,00:03:01,144,,,,,,,29.5,
,00:03:02,145,,,,,,,29.5,
,00:03:03,145,,,,,,,29.4,
,00:03:04,145,,,,,,,29.4,
,00:03:05,145,,,,,,,29.5,
,00:03:06,146,,,,,,,29.4,
,00:03:07,146,,,,,,,29.4,
,00:03:08,146,,,,,,,29.5,
,00:03:09,147,,,,,,,29.4,
,00:03:10,147,,,,,,,29.5,
,00:03:11,147,,,,,,,29.2,
,00:03:12,147,,,,,,,29.3,
,00:03:13,147,,,,,,,29.4,
,00:03:14,147,,,,,,,29.4,
,00:03:15,147,,,,,,,29.4,
,00:03:16,147,,,,,,,29.4,
,00:03:17,148,,,,,,,29.4,
,00:03:18,148,,,,,,,29.4,
,00:03:19,148,,,,,,,29.4,
,00:03:20,148,,,,,,,29.4,
,00:03:21,149,,,,,,,29.3,
,00:03:22,149,,,,,,,29.3,
,00:03:23,149,,,,,,,29.4,
,00:03:24,149,,,,,,,29.4,
,00:03:25,150,,,,,,,29.4,
,00:03:26,150,,,,,,,29.4,
,00:03:27,150,,,,,,,29.4,
,00:03:28,149,,,,,,,29.3,
,00:03:29,150,,,,,,,29.4,
,00:03:30,149,,,,,,,29.5,
,00:03:31,149,,,,,,,29.4,
,00:03:32,149,,,,,,,29.4,
,00:03:33,149,,,,,,,29.3,
,00:03:34,150,,,,,,,29.4,
,00:03:35,150,,,,,,,29.4,
,00:03:36,150,,,,,,,29.3,
,00:03:37,150,,,,,,,29.3,
,00:03:38,150,,,,,,,29.3,
,00:03:39,150,,,,,,,29.4,
,00:03:40,150,,,,,,,29.3,
,00:03:41,150,,,,,,,29.4,
,00:03:42,150,,,,,,,29.4,
,00:03:43,150,,,,,,,29.4,
,00:03:44,150,,,,,,,29.3,
,00:03:45,150,,,,,,,29.3,
,00:03:46,150,,,,,,,29.4,
,00:03:47,150,,,,,,,29.2,
,00:03:48,150,,,,,,,29.4,
,00:03:49,151,,,,,,,29.2,
,00:03:50,151,,,,,,,29.3,
,00:03:51,151,,,,,,,29.4,
,00:03:52,151,,,,,,,29.3,
,00:03:53,151,,,,,,,29.3,
,00:03:54,151,,,,,,,29.3,
,00:03:55,152,,,,,,,29.3,
,00:03:56,153,,,,,,,29.3,
,00:03:57,152,,,,,,,29.3,
,00:03:58,152,,,,,,,29.3,
,00:03:59,153,,,,,,,29.4,
,00:04:00,153,,,,,,,29.4,
,00:04:01,153,,,,,,,29.3,
,00:04:02,153,,,,,,,29.3,
,00:04:03,153,,,,,,,29.2,
,00:04:04,153,,,,,,,29.4,
,00:04:05,153,,,,,,,29.3,
